symbol,symbol_era_id,historical_identity_status,historical_issuer_name,historical_event_type,historical_event_date,historical_successor,source_url,source_note
X,X#001,manual_verified_acquired_delisted,United States Steel Corporation,acquired_delisted,2025-06-18,Nippon Steel Corporation,https://www.reuters.com/markets/deals/nippon-steel-completes-us-steel-takeover-2025-06-18/,Nippon Steel completed acquisition; U.S. Steel ceased NYSE trading and was delisted.
TWTR,TWTR#001,manual_verified_taken_private,Twitter Inc.,taken_private_delisted,2022-10-28,X Holdings I Inc.,https://www.sec.gov/Archives/edgar/data/1418091/000119312522272911/d411348d8k.htm,Twitter merger closed and NYSE delisting became effective.
ATVI,ATVI#001,manual_verified_acquired_delisted,Activision Blizzard Inc.,acquired_delisted,2023-10-13,Microsoft Corporation,https://news.microsoft.com/2023/10/13/microsoft-completes-acquisition-of-activision-blizzard-king/,Microsoft completed acquisition of Activision Blizzard.
PXD,PXD#001,manual_verified_acquired_delisted,Pioneer Natural Resources Company,acquired_delisted,2024-05-03,Exxon Mobil Corporation,https://corporate.exxonmobil.com/news/news-releases/2024/0503_exxonmobil-completes-acquisition-of-pioneer-natural-resources,ExxonMobil completed acquisition of Pioneer Natural Resources.
WBA,WBA#001,manual_verified_historical_identity,"Walgreens Boots Alliance, Inc.",going_private_lead,2025-04-14,,https://www.sec.gov/Archives/edgar/data/1618921/000119312525079623/,"SEC triage high_confidence_lead score=115; deal_form; inside_symbol_era; symbol_token_in_entity; form=SC 13E3. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
NYCB,NYCB#001,manual_verified_historical_identity,NEW YORK COMMUNITY BANCORP INC,merger_or_acquisition_lead,2021-06-24,,https://www.sec.gov/Archives/edgar/data/910073/000119312521198127/,"SEC triage high_confidence_lead score=120; deal_form; inside_symbol_era; symbol_token_in_entity; form=S-4/A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
JNPR,JNPR#001,manual_verified_historical_identity,JUNIPER NETWORKS INC,merger_or_acquisition_lead,2024-02-07,,https://www.sec.gov/Archives/edgar/data/1043604/000119312524026799/,"SEC triage high_confidence_lead score=110; deal_form; inside_symbol_era; symbol_token_in_entity; form=PREM14A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
DISCA,DISCA#001,manual_verified_historical_identity,"Discovery Communications, Inc.",merger_or_acquisition_lead,2017-10-13,,https://www.sec.gov/Archives/edgar/data/1437107/000119312517309961/,"SEC triage high_confidence_lead score=108; deal_form; inside_symbol_era; query_alias_in_entity; form=S-4/A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
CTLT,CTLT#001,manual_verified_historical_identity,"Catalent, Inc.",merger_or_acquisition_lead,2024-04-03,,https://www.sec.gov/Archives/edgar/data/1596783/000119312524086026/,"SEC triage high_confidence_lead score=110; deal_form; inside_symbol_era; symbol_token_in_entity; form=PREM14A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
WPX,WPX#001,manual_verified_historical_identity,"WPX ENERGY, INC.",merger_or_acquisition_lead,2020-11-24,,https://www.sec.gov/Archives/edgar/data/1518832/000119312520302555/,"SEC triage high_confidence_lead score=117; deal_form; inside_symbol_era; symbol_token_in_entity; form=DEFM14A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
