symbol,symbol_era_id,resolution_status,resolution_disposition,evidence_tier,research_route,instrument_type,historical_issuer_name,event_type,event_date,successor,primary_source_url,secondary_source_url,source_note,resolver
ABR-A,ABR-A#008,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,preferred_redemption_or_delisting,probable_preferred,Parent root ABR,preferred_security_terminal_action,20170609,,local:parent-root-current-evidence,,Local terminal disposition: ABR-A linked to parent/root symbol ABR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
ABR-A,ABR-A#011,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,preferred_redemption_or_delisting,probable_preferred,Parent root ABR,preferred_security_terminal_action,20171004,,local:parent-root-current-evidence,,Local terminal disposition: ABR-A linked to parent/root symbol ABR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
ABR-A,ABR-A#010,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,preferred_redemption_or_delisting,probable_preferred,Parent root ABR,preferred_security_terminal_action,20170801,,local:parent-root-current-evidence,,Local terminal disposition: ABR-A linked to parent/root symbol ABR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
ABR-A,ABR-A#004,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,preferred_redemption_or_delisting,probable_preferred,Parent root ABR,preferred_security_terminal_action,20170303,,local:parent-root-current-evidence,,Local terminal disposition: ABR-A linked to parent/root symbol ABR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
ABR-A,ABR-A#006,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,preferred_redemption_or_delisting,probable_preferred,Parent root ABR,preferred_security_terminal_action,20170428,,local:parent-root-current-evidence,,Local terminal disposition: ABR-A linked to parent/root symbol ABR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
ABR-A,ABR-A#009,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,preferred_redemption_or_delisting,probable_preferred,Parent root ABR,preferred_security_terminal_action,20170707,,local:parent-root-current-evidence,,Local terminal disposition: ABR-A linked to parent/root symbol ABR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
ABR-A,ABR-A#003,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,preferred_redemption_or_delisting,probable_preferred,Parent root ABR,preferred_security_terminal_action,20170213,,local:parent-root-current-evidence,,Local terminal disposition: ABR-A linked to parent/root symbol ABR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
ABR-A,ABR-A#001,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,preferred_redemption_or_delisting,probable_preferred,Parent root ABR,preferred_security_terminal_action,20161221,,local:parent-root-current-evidence,,Local terminal disposition: ABR-A linked to parent/root symbol ABR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
ABR-A,ABR-A#012,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,preferred_redemption_or_delisting,probable_preferred,Parent root ABR,preferred_security_terminal_action,20210623,,local:parent-root-current-evidence,,Local terminal disposition: ABR-A linked to parent/root symbol ABR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
ABR-A,ABR-A#002,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,preferred_redemption_or_delisting,probable_preferred,Parent root ABR,preferred_security_terminal_action,20170124,,local:parent-root-current-evidence,,Local terminal disposition: ABR-A linked to parent/root symbol ABR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
ABR-A,ABR-A#005,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,preferred_redemption_or_delisting,probable_preferred,Parent root ABR,preferred_security_terminal_action,20170410,,local:parent-root-current-evidence,,Local terminal disposition: ABR-A linked to parent/root symbol ABR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
ABR-A,ABR-A#007,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,preferred_redemption_or_delisting,probable_preferred,Parent root ABR,preferred_security_terminal_action,20170525,,local:parent-root-current-evidence,,Local terminal disposition: ABR-A linked to parent/root symbol ABR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
